75,75,MI_L,-37.21979068,11.06137012,2.366317793,L,MI,75
76,76,PI_L,-44.85188771,-4.322362052,-13.13359148,L,PI,76
77,77,Pir_L,-29.11630958,3.292085702,-17.54919108,L,Pir,77
78,78,PoI1_L,-39.39536168,-12.06957482,-2.81667587,L,PoI1,78
79,79,PoI2_L,-40.69930834,-3.278121587,-0.177648344,L,PoI2,79
80,80,Hipp_L,-26.27419355,-24.94109397,-14.53856942,L,Hipp,80
81,81,PreS_L,-16.78425977,-34.68739681,-12.21188773,L,PreS,81
82,82,EC_L,-23.78796427,-12.62576399,-31.01175364,L,EC,82
83,83,PeEc_L,-31.12971405,-9.016991297,-33.48528802,L,PeEc,83
84,84,TF_L,-43.36402408,-20.19443051,-30.81384847,L,TF,84
85,85,PHA1_L,-24.38563622,-37.44340359,-14.38875878,L,PHA1,85
86,86,PHA2_L,-33.27713921,-36.39719029,-11.33716475,L,PHA2,86
87,87,PHA3_L,-31.76816609,-37.35590707,-18.06327237,L,PHA3,87
88,88,PHT_L,-57.57197513,-62.21329507,3.199186992,L,PHT,88
89,89,TE1a_L,-60.96020662,-5.86435814,-22.60512722,L,TE1a,89
90,90,TE1m_L,-64.65648398,-26.86433064,-14.72327044,L,TE1m,90
91,91,TE1p_L,-61.68858909,-49.89544688,-9.548341765,L,TE1p,91
92,92,TE2a_L,-58.05499912,-24.70479705,-27.64944649,L,TE2a,92
93,93,TE2p_L,-48.69185905,-42.67776428,-21.06196841,L,TE2p,93
94,94,TGd_L,-39.10625981,11.93789246,-34.88010204,L,TGd,94
95,95,TGv_L,-37.83432593,-0.989442339,-45.09312398,L,TGv,95
96,96,PSL_L,-58.25394615,-45.72330548,25.76880223,L,PSL,96
97,97,STV_L,-62.52497847,-49.15934539,17.95650301,L,STV,97
98,98,TPOJ1_L,-55.73977165,-45.41341579,9.902949572,L,TPOJ1,98
99,99,TPOJ2_L,-52.37979275,-62.12020725,15.86943005,L,TPOJ2,99
100,100,TPOJ3_L,-46.98682171,-73.03178295,21.33953488,L,TPOJ3,100
101,101,7AL_L,-22.37722587,-51.16166823,65.28631678,L,7AL,101
102,102,7Am_L,-7.771619366,-60.05976628,61.41803005,L,7Am,102
103,103,7PC_L,-38.33100603,-47.18152967,60.24087591,L,7PC,103
104,104,7PL_L,-15.04011799,-72.66135693,56.76696165,L,7PL,104
105,105,7Pm_L,-4.32792005,-69.43660212,50.77763898,L,7Pm,105
106,106,AIP_L,-40.52276138,-39.10155078,42.63781891,L,AIP,106
107,107,LIPd_L,-30.2906746,-53.98809524,43.3452381,L,LIPd,107
108,108,LIPv_L,-30.83164783,-57.18441404,54.43902439,L,LIPv,108
109,109,MIP_L,-25.86965812,-67.17574786,48.87767094,L,MIP,109
110,110,VIP_L,-23.78201058,-63.13968254,63.97407407,L,VIP,110
111,111,IP0_L,-30.97423109,-77.31005819,25.61512884,L,IP0,111
112,112,IP1_L,-30.72990544,-68.34160757,39.36938534,L,IP1,112
113,113,IP2_L,-42.88344434,-46.20551855,44.32207422,L,IP2,113
114,114,PF_L,-61.33205058,-36.16181052,35.83818948,L,PF,114
115,115,PFm_L,-50.93649635,-55.75839416,44.40158151,L,PFm,115
116,116,PFop_L,-63.3344463,-24.61602671,23.29604897,L,PFop,116
117,117,PFt_L,-56.60262229,-25.8214826,36.45688351,L,PFt,117
118,118,PGi_L,-47.26612398,-63.56689626,27.88144437,L,PGi,118
119,119,PGp_L,-37.69732107,-85.17952819,24.77369052,L,PGp,119
120,120,PGs_L,-39.96331283,-75.92025483,40.90773286,L,PGs,120
121,121,23d_L,-3.283901665,-18.78033307,39.73275178,L,23d,121
122,122,31a_L,-4.28015873,-36.59365079,43.29365079,L,31a,122
123,123,31pd_L,-9.004901961,-52.57352941,35.01120448,L,31pd,123
124,124,31pv_L,-10.24736842,-45.96736842,32.44842105,L,31pv,124
125,125,7m_L,-4.031954887,-63.52584586,34.92481203,L,7m,125
126,126,d23ab_L,-3.329807094,-41.70690728,31.89172371,L,d23ab,126
127,127,DVT_L,-17.78294574,-73.14285714,34.90919158,L,DVT,127
128,128,PCV_L,-6.350111359,-51.37728285,48.12561247,L,PCV,128
129,129,POS1_L,-11.09600948,-58.8407744,14.0007902,L,POS1,129
130,130,POS2_L,-9.30450782,-72.12296841,36.16252683,L,POS2,130
131,131,ProS_L,-20.8903437,-55.09656301,4.073649755,L,ProS,131
132,132,RSC_L,-5.24204947,-34.15088339,21.87844523,L,RSC,132
133,133,v23ab_L,-3.847161572,-56.48908297,18.92248908,L,v23ab,133
134,134,10r_L,-6.77092511,51.35368156,-10.59597231,L,10r,134
135,135,10v_L,-4.735279058,52.52099334,-18.19457245,L,10v,135
136,136,25_L,-4.608581894,21.17739403,-11.9010989,L,25,136
137,137,33pr_L,-3.658788774,15.05982275,25.43870015,L,33pr,137
138,138,8BM_L,-5.314862268,32.18001281,44.60538117,L,8BM,138
139,139,9m_L,-6.769643421,55.35279268,23.10744714,L,9m,139
140,140,a24_L,-5.729976019,40.64508393,-4.49736211,L,a24,140
141,141,a24pr_L,-6.192694064,19.56164384,29.99726027,L,a24pr,141
142,142,a32pr_L,-7.89766913,30.56281978,28.01762365,L,a32pr,142
143,143,d32_L,-8.42459605,42.13464991,24.95915619,L,d32,143
144,144,p24_L,-4.984962406,38.48955723,10.97076023,L,p24,144
145,145,p24pr_L,-4.181434599,0.202531646,39.49648383,L,p24pr,145
146,146,p32_L,-11.14491525,50.2220339,-2.874576271,L,p32,146
147,147,p32pr_L,-8.453792224,15.73613767,38.34671765,L,p32pr,147
148,148,pOFC_L,-13.16532582,12.57200322,-19.31053902,L,pOFC,148
149,149,s32_L,-8.574503311,35.11589404,-14.02483444,L,s32,149
150,150,10d_L,-12.69731065,66.10455543,6.193743139,L,10d,150
151,151,10pp_L,-14.96895343,63.07361042,-14.7776665,L,10pp,151
152,152,11l_L,-26.70716511,49.36476919,-15.19852733,L,11l,152
153,153,13l_L,-23.31412104,30.38946068,-19.34005764,L,13l,153
154,154,47m_L,-35.94993742,32.8873592,-14.30413016,L,47m,154
155,155,47s_L,-33.09624329,21.32665474,-20.61359571,L,47s,155
156,156,a10p_L,-28.35488798,58.93533605,-5.133401222,L,a10p,156
157,157,OFC_L,-10.65855263,33.96140351,-24.70307018,L,OFC,157
158,158,p10p_L,-25.8147448,61.48109641,3.631379962,L,p10p,158
159,159,44_L,-54.16919918,15.59055441,13.17371663,L,44,159
160,160,45_L,-51.5430622,26.5778841,2.191121744,L,45,160
161,161,47l_L,-46.65255243,29.66759003,-10.8880095,L,47l,161
162,162,a47r_L,-41.59227262,48.69210463,-11.38948884,L,a47r,162
163,163,IFJa_L,-43.11632518,12.63516193,26.30733642,L,IFJa,163
164,164,IFJp_L,-39.91770833,3.302083333,29.1375,L,IFJp,164
165,165,IFSa_L,-46.82887701,33.59212445,10.30870199,L,IFSa,165
166,166,IFSp_L,-49.21334172,23.15166772,21.21837634,L,IFSp,166
167,167,p47r_L,-44.76887014,43.77777778,0.960150023,L,p47r,167
168,168,46_L,-39.61998766,37.961752,31.34114744,L,46,168
169,169,8Ad_L,-24.19314826,28.93177791,42.4010632,L,8Ad,169
170,170,8Av_L,-38.97794882,17.23236946,50.74058664,L,8Av,170
171,171,8BL_L,-12.91945514,35.81670121,53.60586319,L,8BL,171
172,172,8C_L,-43.87564259,13.21933905,36.52093023,L,8C,172
173,173,9-46d_L,-30.21746802,45.94177327,23.99470666,L,9-46d,173
174,174,9a_L,-22.08715596,57.68672423,23.22611981,L,9a,174
175,175,9p_L,-21.02802102,47.0668418,37.26853473,L,9p,175
176,176,a9-46v_L,-40.76523838,51.15359083,9.586602293,L,a9-46v,176
177,177,i6-8_L,-30.8877551,8.136054422,57.23639456,L,i6-8,177
178,178,p9-46v_L,-47.85649599,29.02473006,25.67920585,L,p9-46v,178
179,179,s6-8_L,-22.53967066,23.36526946,56.3248503,L,s6-8,179
180,180,SFL_L,-8.377485154,16.01497547,63.94500387,L,SFL,180
181,181,V1_R,12.23071759,-80.64448754,4.10137252,R,V1,181
182,182,V2_R,12.36677282,-78.13800425,5.714118896,R,V2,182
183,183,V3_R,17.80363588,-85.09076327,9.895869536,R,V3,183
184,184,V4_R,30.33480273,-83.9248402,-0.544853427,R,V4,184
185,185,IPS1_R,25.95314286,-71.984,41.52628571,R,IPS1,185
186,186,V3A_R,18.74321881,-88.3761302,30.34629295,R,V3A,186
187,187,V3B_R,29.95896033,-75.73050616,21.61012312,R,V3B,187
188,188,V6_R,17.95766517,-76.67286722,30.72161642,R,V6,188
189,189,V6A_R,22.1253406,-83.24250681,44.32152589,R,V6A,189
190,190,V7_R,28.71757925,-82.19020173,34.20076849,R,V7,190
191,191,FFC_R,41.2164925,-54.91322126,-19.54906861,R,FFC,191
192,192,PIT_R,43.03102453,-82.76984127,-11.67532468,R,PIT,192
193,193,V8_R,30.75404255,-76.03319149,-12.33531915,R,V8,193
194,194,VMV1_R,19.36177194,-52.83921247,-7.160787531,R,VMV1,194
195,195,VMV2_R,26.47345612,-54.0411701,-6.98808234,R,VMV2,195
196,196,VMV3_R,26.81239936,-60.80273752,-10.46940419,R,VMV3,196
197,197,VVC_R,29.1983291,-49.39738467,-18.05739194,R,VVC,197
198,198,FST_R,50.78431373,-63.82234106,1.714795009,R,FST,198
199,199,LO1_R,39.93179318,-79.89218922,5.398239824,R,LO1,199
200,200,LO2_R,45.65348399,-82.24199623,-1.623352166,R,LO2,200
201,201,LO3_R,42.77377049,-73.70273224,14.10819672,R,LO3,201
202,202,MST_R,49.10328185,-64.37065637,7.8996139,R,MST,202
203,203,MT_R,50.3641791,-69.78109453,11.50646766,R,MT,203
204,204,PH_R,47.87176287,-63.25179407,-9.591575663,R,PH,204
205,205,V3CD_R,38.10229133,-83.3207856,13.19394435,R,V3CD,205
206,206,V4t_R,50.81265012,-73.71817454,0.114491593,R,V4t,206
207,207,1_R,47.37468354,-21.58059072,54.66869198,R,1,207
208,208,2_R,38.40131161,-29.855934,51.70848318,R,2,208
209,209,3a_R,31.53412073,-20.35389326,47.08048994,R,3a,209
210,210,3b_R,37.56597701,-20.05195402,52.29057471,R,3b,210
211,211,4_R,27.10581237,-17.3280671,56.96684221,R,4,211
212,212,23c_R,10.3122498,-29.39831865,43.37990392,R,23c,212
213,213,24dd_R,6.642198582,-12.92198582,51.26843972,R,24dd,213
214,214,24dv_R,8.534469978,0.538176427,45.68124537,R,24dv,214
215,215,5L_R,13.37645037,-47.78856897,72.64159862,R,5L,215
