86,86,Right Anterior Entorhinal Cortex (on the Parahippocampal gyrus),24.02850163,-0.126628664,-14.5985342
87,87,Right Perirhinal Cortex (on the Parahippocampal gyrus),15.49443609,-12.31879699,-23.53503759
88,88,Right Parahippocampal cortex (on the Parahippocampal gyrus),27.58139188,2.413978495,-34.32571685
89,89,Right Fusiform gyrus,39.67511913,-51.79533839,-9.88024987
90,90,Right Temporopolar area (most rostral part of the superior and middle temporal gyri,44.02916195,18.09597961,-20.65515289
91,91,"Right Angular gyrus, part of Wernicke's area",44.70230241,-63.23865625,29.77851084
92,92,Right Supramarginal gyrus part of Wernicke's area,45.8658486,-44.70549529,44.68788903
93,93,Right Primary Auditory Cortex,42.76088561,-39.44674047,17.18646986
94,94,Right Primary Association Cortex,57.73039216,-35.91636029,17.14123775
95,95,Right Subcentral area (between insula and post/precentral gyrus),62.21156481,-7.811729241,26.31488079
96,96,Right pars opercularis Broca's area,47.19560322,14.90241287,30.74616622
97,97,"Right pars triangularis, part of Broca's area",48.05296639,33.66131932,13.94316139
98,98,Right Dorsolateral prefrontal cortex,35.42184305,44.64069661,21.57963759
99,99,Right Inferior prefrontal gyrus,34.6453766,35.00316474,-4.960929858
100,100,Right Retrosubicular area (a small part of the medial surface of the temporal lobe),40.12257959,-4.010884765,12.9401086
